Pfad;Bild;Bedeckungsgrad_prozent
../data/input_images/X20220420_Zwiebel/;X2022_04_25_1.jpeg;0.03
../data/input_images/X20220420_Zwiebel/;X2022_04_25_10.jpeg;0.18
../data/input_images/X20220420_Zwiebel/;X2022_04_25_11.jpeg;0.18
../data/input_images/X20220420_Zwiebel/;X2022_04_25_12.jpeg;0.21
../data/input_images/X20220420_Zwiebel/;X2022_04_25_2.jpeg;0.02
../data/input_images/X20220420_Zwiebel/;X2022_04_25_3.jpeg;0.04
../data/input_images/X20220420_Zwiebel/;X2022_04_25_4.jpeg;0.1
../data/input_images/X20220420_Zwiebel/;X2022_04_25_5.jpeg;0.14
../data/input_images/X20220420_Zwiebel/;X2022_04_25_6.jpeg;0.02
../data/input_images/X20220420_Zwiebel/;X2022_04_25_7.jpeg;0.19
../data/input_images/X20220420_Zwiebel/;X2022_04_25_8.jpeg;0.19
../data/input_images/X20220420_Zwiebel/;X2022_04_25_9.jpeg;0.21
