Pfad;Bild;Bedeckungsgrad_prozent
../data/input_images/X20220525_Spinat/;01.jpeg;94.89
../data/input_images/X20220525_Spinat/;02.jpeg;94.05
../data/input_images/X20220525_Spinat/;03.jpeg;81.67
../data/input_images/X20220525_Spinat/;04.jpeg;91.87
../data/input_images/X20220525_Spinat/;05.jpeg;86.97
../data/input_images/X20220525_Spinat/;06.jpeg;88.27
../data/input_images/X20220525_Spinat/;07.jpeg;93.73
../data/input_images/X20220525_Spinat/;08.jpeg;94.41
../data/input_images/X20220525_Spinat/;09.jpeg;93.03
../data/input_images/X20220525_Spinat/;10.jpeg;89.84
../data/input_images/X20220525_Spinat/;11.jpeg;94.76
../data/input_images/X20220525_Spinat/;12.jpeg;94.32
../data/input_images/X20220525_Spinat/;13.jpeg;91.69
../data/input_images/X20220525_Spinat/;14.jpeg;94.6
../data/input_images/X20220525_Spinat/;15.jpeg;84.42
../data/input_images/X20220525_Spinat/;16.jpeg;92.45
