Pfad;Bild;Bedeckungsgrad_prozent
../data/input_images/X20220525_Spinat_Satz1/;01.jpeg;94.89
../data/input_images/X20220525_Spinat_Satz1/;02.jpeg;94.05
../data/input_images/X20220525_Spinat_Satz1/;03.jpeg;81.67
../data/input_images/X20220525_Spinat_Satz1/;04.jpeg;91.87
../data/input_images/X20220525_Spinat_Satz1/;05.jpeg;86.97
../data/input_images/X20220525_Spinat_Satz1/;06.jpeg;88.27
../data/input_images/X20220525_Spinat_Satz1/;07.jpeg;93.73
../data/input_images/X20220525_Spinat_Satz1/;08.jpeg;94.41
../data/input_images/X20220525_Spinat_Satz1/;09.jpeg;93.03
../data/input_images/X20220525_Spinat_Satz1/;10.jpeg;89.84
../data/input_images/X20220525_Spinat_Satz1/;11.jpeg;94.76
../data/input_images/X20220525_Spinat_Satz1/;12.jpeg;94.32
../data/input_images/X20220525_Spinat_Satz1/;13.jpeg;91.69
../data/input_images/X20220525_Spinat_Satz1/;14.jpeg;94.6
../data/input_images/X20220525_Spinat_Satz1/;15.jpeg;84.42
../data/input_images/X20220525_Spinat_Satz1/;16.jpeg;92.45
